studentId,timeStamp,Project 1 Preference,Project 2 Preference,Project 3 Preference,Project 4 Preference,Project 5 Preference,Project 6 Preference,Project 7 Preference,Project 8 Preference,Project 9 Preference,Project 10 Preference
10000001,08/09/2024 16:31:14,4,1,7,2,6,3,5,10,8,9
10000002,08/09/2024 18:39:1,2,10,5,3,1,6,9,7,4,8
10000003,08/09/2024 17:35:47,7,5,8,2,3,9,10,1,6,4
10000004,08/09/2024 7:42:44,1,6,2,4,10,5,3,7,8,9
10000005,08/09/2024 16:3:47,1,8,2,6,7,5,4,10,3,9
10000006,08/09/2024 23:27:59,3,9,7,1,4,10,5,6,8,2
10000007,08/09/2024 19:12:27,3,8,5,1,10,9,7,2,4,6
10000008,08/09/2024 18:36:4,1,4,8,6,3,10,2,5,9,7
10000009,08/09/2024 23:26:28,5,10,3,6,1,4,9,8,2,7
10000010,08/09/2024 6:54:8,3,5,9,4,7,1,6,2,10,8
10000011,08/09/2024 17:54:1,3,9,4,7,5,6,8,1,2,10
10000012,08/09/2024 14:6:15,8,2,10,7,4,1,9,6,5,3
10000013,08/09/2024 19:32:12,6,5,1,10,3,7,2,8,9,4
10000014,08/09/2024 17:55:18,3,8,2,1,6,10,7,4,5,9
10000015,08/09/2024 10:27:57,2,9,3,8,10,5,1,6,7,4
10000016,08/09/2024 21:13:27,9,2,3,4,5,8,6,1,10,7
10000017,08/09/2024 14:3:28,8,4,9,10,1,2,5,3,7,6
10000018,08/09/2024 5:12:24,7,2,9,6,4,3,5,8,10,1
10000019,08/09/2024 19:24:56,3,5,7,2,6,4,1,8,10,9
10000020,08/09/2024 11:39:56,9,2,10,5,4,3,1,7,8,6
10000021,08/09/2024 2:28:36,8,6,10,2,4,7,9,5,1,3
10000022,08/09/2024 20:54:37,4,5,6,8,3,10,7,2,1,9
10000023,08/09/2024 18:26:46,9,8,7,4,5,6,10,2,1,3
10000024,08/09/2024 23:22:20,9,4,1,7,8,6,5,2,3,10
10000025,08/09/2024 5:30:29,5,3,2,9,4,1,8,7,6,10
10000026,08/09/2024 14:46:51,1,10,6,2,3,4,8,9,7,5
10000027,08/09/2024 19:11:41,8,6,4,9,7,2,3,5,10,1
10000028,08/09/2024 23:32:4,8,6,5,7,9,3,10,1,2,4
10000029,08/09/2024 11:8:25,9,4,2,6,5,3,8,7,10,1
10000030,08/09/2024 11:6:41,8,1,3,9,7,2,10,5,4,6
10000031,08/09/2024 19:14:35,6,10,9,3,2,4,7,5,8,1
10000032,08/09/2024 4:58:49,8,3,6,1,5,2,9,7,10,4
10000033,08/09/2024 18:27:35,8,7,3,2,4,10,9,1,6,5
10000034,08/09/2024 0:58:39,3,6,10,1,8,7,2,5,9,4
10000035,08/09/2024 0:55:12,2,9,8,4,7,10,1,6,3,5
10000036,08/09/2024 5:49:45,9,8,4,5,3,6,2,10,7,1
10000037,08/09/2024 16:58:32,2,3,7,5,6,1,9,10,4,8
